variable_tested,MAE,MSE,RMSE,R2
daily_screen_time_hours,1.0428931574793692,1.6605180865631681,1.2886109135666857,-0.09063149967138084
sleep_quality,1.0212655461062428,1.54983065359559,1.2449219467884682,-0.01793177903054044
mood_rating,1.0247650988154984,1.5623371347434118,1.2499348521996705,-0.02614606010355902
stress_level,1.0241363463788524,1.557498495917304,1.2479977948367151,-0.02296803273849224
physical_activity_hours_per_week,1.0449035316481163,1.6271926576044902,1.2756146195479614,-0.06874329329982554
mental_health_score,1.051238402778108,1.6258466825358442,1.2750869313642283,-0.06785925426434836
uses_wellness_apps,1.0202963082240677,1.5465902318019362,1.243619809990954,-0.01580346371197927
eats_healthy,1.0207219358784692,1.5476574642319922,1.244048819071017,-0.01650442404183572
caffeine_intake_mg_per_day,1.1530939328310577,2.0308242663209457,1.4250699162921607,-0.3338493167098595
weekly_anxiety_score,1.0329643709066727,1.573957848661487,1.254574768063461,-0.03377856754221864
weekly_depression_score,1.0176082551026056,1.5392048861083583,1.240646962720805,-0.010952754337262727
mindfulness_minutes_per_day,1.0877871140118445,1.7974554586363598,1.340692156550623,-0.18057223122604538
